prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1762504566_10-1212_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1212,5,5.11,0.11,97.74,2025-11-07T15:36:06.066763,2025-11-07T15:41:12.858076
1762505117_10-1148_Baan_Khian,Rawai -> Airport,Baan Khian,10-1148,3,4.1,1.1,63.48,2025-11-07T15:45:17.281913,2025-11-07T15:49:23.014430
1762505301_10-1204_Kata_Palm,Rawai -> Airport,Kata Palm,10-1204,0,1.03,1.03,0.0,2025-11-07T15:48:21.239136,2025-11-07T15:49:23.034079
1762504933_10-1212_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1212,7,10.22,3.22,54.07,2025-11-07T15:42:13.705340,2025-11-07T15:52:26.627316
1762503462_10-1205_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1205,21,39.34,18.34,12.68,2025-11-07T15:17:42.028691,2025-11-07T15:57:02.228348
1762505668_10-1205_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1205,4,2.56,-1.44,64.04,2025-11-07T15:54:28.647288,2025-11-07T15:57:02.333920
1762502358_10-1212_Kata_Palm,Airport -> Rawai,Kata Palm,10-1212,41,59.77,18.77,54.22,2025-11-07T14:59:18.611616,2025-11-07T15:59:04.831277
1762505484_10-1210_Kamala_Muslim_Cemetery,Airport -> Rawai,Kamala Muslim Cemetery,10-1210,8,8.68,0.68,91.45,2025-11-07T15:51:24.951202,2025-11-07T16:00:05.978208
1762504749_10-1210_Big_C_Kamala,Airport -> Rawai,Big C Kamala,10-1210,19,26.04,7.04,62.97,2025-11-07T15:39:09.971261,2025-11-07T16:05:12.161888
1762506219_10-1210_Big_C_Kamala,Airport -> Rawai,Big C Kamala,10-1210,1,1.54,0.54,46.14,2025-11-07T16:03:39.910945,2025-11-07T16:05:12.226048
1762506954_10-1205_Phuket_Fantasea,Rawai -> Airport,Phuket Fantasea,10-1205,1,2.56,1.56,-55.86,2025-11-07T16:15:54.734525,2025-11-07T16:18:28.250653
1762503829_10-1210_Kalim_School,Airport -> Rawai,Kalim School,10-1210,40,59.23,19.23,51.91,2025-11-07T15:23:49.848887,2025-11-07T16:23:03.935033
1762506587_10-1147_Phuket_Fantasea,Airport -> Rawai,Phuket Fantasea,10-1147,15,18.38,3.38,77.44,2025-11-07T16:09:47.294979,2025-11-07T16:28:10.296648
1762504013_10-1210_Patong_PEA,Airport -> Rawai,Patong PEA,10-1210,47,77.64,30.64,34.8,2025-11-07T15:26:53.605019,2025-11-07T16:44:32.167995
1762507322_10-1209_Laguna,Airport -> Rawai,Laguna,10-1209,11,28.14,17.14,-55.81,2025-11-07T16:22:02.375969,2025-11-07T16:50:10.713859
1762508794_10-1151_Woraburi_Karon,Rawai -> Airport,Woraburi Karon,10-1151,7,9.75,2.75,60.68,2025-11-07T16:46:34.900885,2025-11-07T16:56:20.031663
1762506403_10-1210_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1210,31,51.65,20.65,33.4,2025-11-07T16:06:43.710645,2025-11-07T16:58:22.498126
1762507689_10-1151_Karon_Circle,Rawai -> Airport,Karon Circle,10-1151,21,30.21,9.21,56.13,2025-11-07T16:28:09.770138,2025-11-07T16:58:22.542331
1762509164_10-1210_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1210,8,8.71,0.71,91.12,2025-11-07T16:52:44.034125,2025-11-07T17:01:26.677268
1762509716_10-1209_Surin_Beach,Airport -> Rawai,Surin Beach,10-1209,4,5.12,1.12,72.08,2025-11-07T17:01:56.946131,2025-11-07T17:07:03.951217
1762506036_10-1210_Beyond_hotel_Kata,Airport -> Rawai,Beyond hotel Kata,10-1210,44,68.56,24.56,44.17,2025-11-07T16:00:36.260027,2025-11-07T17:09:10.117974
1762508057_10-1147_Indigo_Patong,Airport -> Rawai,Indigo Patong,10-1147,15,40.82,25.82,-72.13,2025-11-07T16:34:17.591691,2025-11-07T17:15:06.800106
1762510452_10-1210_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1210,8,7.99,-0.01,99.82,2025-11-07T17:14:12.568023,2025-11-07T17:22:11.696513
1762508979_10-1209_Kalim_Bus_Stop,Airport -> Rawai,Kalim Bus Stop,10-1209,29,38.34,9.34,67.79,2025-11-07T16:49:39.474301,2025-11-07T17:27:59.871338
1762508241_10-1151_Bangla_Patong_,Rawai -> Airport,Bangla Patong ,10-1151,27,52.17,25.17,6.78,2025-11-07T16:37:21.694049,2025-11-07T17:29:31.882022
1762511007_10-1147_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1147,8,9.66,1.66,79.24,2025-11-07T17:23:27.756429,2025-11-07T17:33:07.422425
1762511566_10-1155_Big_C_Kamala,Airport -> Rawai,Big C Kamala,10-1155,13,17.38,4.38,66.32,2025-11-07T17:32:46.784822,2025-11-07T17:50:09.468992
1762513428_10-1210_Woraburi_Karon,Rawai -> Airport,Woraburi Karon,10-1210,19,24.36,5.36,71.8,2025-11-07T18:03:48.249335,2025-11-07T18:28:09.677398
