licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1151,Airport -> Rawai,48,Surin Beach,4456,2025-12-01T18:14:48.977359,2025-12-01T10:40:17.690868,454.52,2025-12-01T17:43:14.746209,31.57,2025-12-01T17:53:30.174267,21.31,,,,,,,,,,,,
10-1151,Airport -> Rawai,49,Intercontinental Kamala,4912,2025-12-01T10:59:53.610062,2025-12-01T10:44:17.690868,15.6,2025-12-01T17:47:14.746209,,2025-12-01T17:58:30.174267,,,,,,,,,,,,,
10-1151,Airport -> Rawai,50,Kamala Muslim Cemetery,5026,2025-12-01T10:59:53.610062,2025-12-01T10:45:17.690868,14.6,2025-12-01T17:48:14.746209,,2025-12-01T17:59:30.174267,,,,,,,,,,,,,
10-1151,Airport -> Rawai,51,Phuket Fantasea,5136,2025-12-01T11:00:54.167538,2025-12-01T10:46:17.690868,14.61,2025-12-01T17:49:14.746209,,2025-12-01T18:00:30.174267,,,,,,,,,,,,,
10-1151,Airport -> Rawai,52,Big C Kamala,5396,2025-12-01T11:05:57.334118,2025-12-01T10:49:17.690868,16.66,2025-12-01T11:04:55.854151,1.02,2025-12-01T18:02:30.174267,,,,,,,,,,,,,
10-1151,Airport -> Rawai,53,Kalim Bus Stop,6450,2025-12-01T11:15:02.629154,2025-12-01T10:59:17.690868,15.75,2025-12-01T11:14:55.854151,0.11,2025-12-01T18:13:30.174267,,,,,,,,,,,,,
10-1151,Airport -> Rawai,54,Kalim School,6540,2025-12-01T11:15:32.905820,2025-12-01T11:00:17.690868,15.25,2025-12-01T11:16:55.854151,-1.38,2025-12-01T18:14:30.174267,,,,,,,,,,,,,
10-1151,Airport -> Rawai,55,Diamond Cliff Resort & Spa,6630,2025-12-01T11:15:32.905820,2025-12-01T11:02:17.690868,13.25,2025-12-01T11:17:55.854151,-2.38,2025-12-01T18:15:30.174267,,,,,,,,,,,,,
10-1151,Airport -> Rawai,56,Indigo Patong,6893,2025-12-01T11:19:35.261648,2025-12-01T11:06:17.690868,13.29,2025-12-01T11:21:55.854151,-2.34,2025-12-01T11:19:04.940511,0.51,,,,,,,,,,,,
10-1151,Airport -> Rawai,57,Patong PEA,7083,,2025-12-01T11:10:17.690868,,2025-12-01T11:25:55.854151,,2025-12-01T11:21:04.940511,,,,,,,,,,,,,
