licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1221,Patong -> Bus 1 -> Bus 2,92,Chillva Market,2580,2025-11-27T17:40:23.076514,2025-11-27T17:23:57.070113,16.43,2025-11-27T17:25:05.961827,15.29,2025-11-27T17:34:15.003442,6.13,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,93,Bangkok Hospital Phuket,2727,2025-11-27T17:47:27.370936,2025-11-27T17:26:57.070113,20.51,2025-11-27T17:28:05.961827,19.36,2025-11-27T17:37:15.003442,10.21,2025-11-27T17:43:23.655330,4.06,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,94,Vachira Phuket Hospital,2966,2025-11-27T17:50:29.223122,2025-11-27T17:29:57.070113,20.54,2025-11-27T17:31:05.961827,19.39,2025-11-27T17:40:15.003442,10.24,2025-11-27T17:47:23.655330,3.09,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,95,Phuket Wittayalai School,3184,2025-11-27T17:55:32.333349,2025-11-27T17:32:57.070113,22.59,2025-11-27T17:34:05.961827,21.44,2025-11-27T17:43:15.003442,12.29,2025-11-27T17:49:23.655330,6.14,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,96,Satree Phuket School,3270,2025-11-27T17:58:34.218709,2025-11-27T17:33:57.070113,24.62,2025-11-27T17:35:05.961827,23.47,2025-11-27T17:44:15.003442,14.32,2025-11-27T17:50:23.655330,8.18,2025-11-27T17:56:02.727990,2.52,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,115,Sanamchai,3411,,2025-11-27T17:35:57.070113,,2025-11-27T17:37:05.961827,,2025-11-27T17:46:15.003442,,2025-11-27T17:52:23.655330,,2025-11-27T17:58:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,98,Phuket Bus Terminal 1,3774,,2025-11-27T17:45:57.070113,,2025-11-27T17:47:05.961827,,2025-11-27T17:56:15.003442,,2025-11-27T18:02:23.655330,,2025-11-27T18:09:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,99,Sanamchai,4052,,2025-11-27T17:49:57.070113,,2025-11-27T17:51:05.961827,,2025-11-27T18:00:15.003442,,2025-11-27T18:06:23.655330,,2025-11-27T18:13:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,100,Phuket Provincial Cooperative Office,4180,,2025-11-27T17:50:57.070113,,2025-11-27T17:52:05.961827,,2025-11-27T18:01:15.003442,,2025-11-27T18:07:23.655330,,2025-11-27T18:14:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,101,Baan Natkamon,4358,,2025-11-27T17:52:57.070113,,2025-11-27T17:54:05.961827,,2025-11-27T18:03:15.003442,,2025-11-27T18:09:23.655330,,2025-11-27T18:16:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,102,Big C Mini Kingkaew,4507,,2025-11-27T17:54:57.070113,,2025-11-27T17:56:05.961827,,2025-11-27T18:05:15.003442,,2025-11-27T18:11:23.655330,,2025-11-27T18:17:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,103,Soi Thachin,4616,,2025-11-27T17:55:57.070113,,2025-11-27T17:57:05.961827,,2025-11-27T18:06:15.003442,,2025-11-27T18:12:23.655330,,2025-11-27T18:18:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,104,Dcondo Campus Kuku,4776,,2025-11-27T17:56:57.070113,,2025-11-27T17:58:05.961827,,2025-11-27T18:07:15.003442,,2025-11-27T18:13:23.655330,,2025-11-27T18:20:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,105,Ban Kuku School,4859,,2025-11-27T17:57:57.070113,,2025-11-27T17:59:05.961827,,2025-11-27T18:08:15.003442,,2025-11-27T18:14:23.655330,,2025-11-27T18:21:02.727990,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,106,Big C Market Thepkrasattri,5122,,2025-11-27T17:59:57.070113,,2025-11-27T18:01:05.961827,,2025-11-27T18:10:15.003442,,2025-11-27T18:16:23.655330,,2025-11-27T18:23:02.727990,,,,,,,,,
10-1210,Rawai -> Airport,25,Karon Circle,2454,2025-11-27T16:57:28.323484,2025-11-27T16:56:57.069917,0.52,,,,,,,,,,,,,,,,
10-1210,Rawai -> Airport,26,Secret cliff resort ,2997,2025-11-27T17:08:34.786222,2025-11-27T17:01:57.069917,6.63,,,,,,,,,,,,,,,,
10-1210,Rawai -> Airport,27,Patong Bus Stop,3674,2025-11-27T17:14:08.295778,2025-11-27T17:07:57.069917,6.19,2025-11-27T17:13:06.299276,1.03,,,,,,,,,,,,,,
10-1210,Rawai -> Airport,28,Bangla Patong ,3858,2025-11-27T17:30:17.778100,2025-11-27T17:10:57.069917,19.35,2025-11-27T17:15:06.299276,15.19,2025-11-27T17:26:15.311881,4.04,,,,,,,,,,,,
10-1210,Rawai -> Airport,29,Four Point Patong,4204,2025-11-27T17:33:19.479275,2025-11-27T17:15:57.069917,17.37,2025-11-27T17:20:06.299276,13.22,2025-11-27T17:31:15.311881,2.07,,,,,,,,,,,,
10-1210,Rawai -> Airport,30,Kalim School,4320,2025-11-27T17:39:23.127867,2025-11-27T17:16:57.069917,22.43,2025-11-27T17:21:06.299276,18.28,2025-11-27T17:32:15.311881,7.13,,,,,,,,,,,,
10-1210,Rawai -> Airport,31,Kalim Bus Stop,4437,2025-11-27T17:40:23.710540,2025-11-27T17:17:57.069917,22.44,2025-11-27T17:22:06.299276,18.29,2025-11-27T17:33:15.311881,7.14,,,,,,,,,,,,
10-1210,Rawai -> Airport,32,Big C Kamala,5519,,2025-11-27T17:28:57.069917,,2025-11-27T17:33:06.299276,,2025-11-27T17:44:15.311881,,2025-11-27T17:50:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,33,Phuket Fantasea,5751,,2025-11-27T17:30:57.069917,,2025-11-27T17:35:06.299276,,2025-11-27T17:46:15.311881,,2025-11-27T17:52:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,,2025-11-27T17:31:57.069917,,2025-11-27T17:36:06.299276,,2025-11-27T17:47:15.311881,,2025-11-27T17:53:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,35,Cafe De Mar,5945,,2025-11-27T17:32:57.069917,,2025-11-27T17:37:06.299276,,2025-11-27T17:48:15.311881,,2025-11-27T17:54:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,36,Surin Beach,6442,,2025-11-27T17:36:57.069917,,2025-11-27T17:41:06.299276,,2025-11-27T17:52:15.311881,,2025-11-27T17:58:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,37,Lotus Cherngtalay,7024,,2025-11-27T17:44:57.069917,,2025-11-27T17:49:06.299276,,2025-11-27T18:00:15.311881,,2025-11-27T18:06:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,38,Laguna,7313,,2025-11-27T17:50:57.069917,,2025-11-27T17:55:06.299276,,2025-11-27T18:05:15.311881,,2025-11-27T18:12:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,39,Cherngtalay School,7346,,2025-11-27T17:50:57.069917,,2025-11-27T17:55:06.299276,,2025-11-27T18:06:15.311881,,2025-11-27T18:12:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,40,Baan Khian,8300,,2025-11-27T17:59:57.069917,,2025-11-27T18:04:06.299276,,2025-11-27T18:15:15.311881,,2025-11-27T18:21:24.271344,,,,,,,,,,,
10-1210,Rawai -> Airport,41,Thalang Public Health Office,8532,,2025-11-27T18:02:57.069917,,2025-11-27T18:07:06.299276,,2025-11-27T18:18:15.311881,,2025-11-27T18:24:24.271344,,,,,,,,,,,
10-1150,Airport -> Rawai,51,Phuket Fantasea,5136,2025-11-27T16:56:27.985717,2025-11-27T16:55:57.069827,0.52,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,52,Big C Kamala,5396,2025-11-27T16:59:29.876494,2025-11-27T16:58:57.069827,0.55,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,53,Kalim Bus Stop,6450,2025-11-27T17:12:07.318587,2025-11-27T17:08:57.069827,3.17,2025-11-27T17:13:06.563398,-0.99,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,54,Kalim School,6540,2025-11-27T17:14:08.501668,2025-11-27T17:09:57.069827,4.19,2025-11-27T17:14:06.563398,0.03,,,,,,,,,,,,,,
